contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	contamination	kmer_freq	lifestyle
V-PC2_NODE_515_length_37897_cov_14.213564	37897	No	NA	54	20	0	Medium-quality	Genome-fragment	67.86	0	1	temperate
V-CA3_NODE_2056_length_12843_cov_4.821636	12843	No	NA	19	1	0	Low-quality	Genome-fragment	18.75	0	1	-
V-PA1_NODE_1316_length_17532_cov_6.758808	17532	No	NA	34	1	0	Low-quality	Genome-fragment	24.77	0	1	virulent
V-CB1_NODE_187_length_46712_cov_7.407012	46712	No	NA	72	16	6	Medium-quality	Genome-fragment	89.35	0	1	temperate
V-PC1_NODE_3583_length_16188_cov_26.516852	16188	No	NA	29	11	0	Low-quality	Genome-fragment	26.79	0	1	virulent
V-CC3_NODE_736_length_30443_cov_17.569189	30443	No	NA	43	8	0	Medium-quality	Genome-fragment	55.59	0	1	virulent
V-CB4_NODE_3924_length_10482_cov_5.358770	10482	No	NA	14	3	0	Low-quality	Genome-fragment	25.16	0	1	virulent
V-CA2_NODE_2596_length_11120_cov_3.396722	11120	No	NA	11	1	0	Low-quality	Genome-fragment	5.33	0	1	temperate
V-PC1_NODE_676_length_47593_cov_29.351629	47593	No	NA	59	10	6	Medium-quality	Genome-fragment	77.03	0	1	virulent
V-PB3_NODE_785_length_34132_cov_19.361327	34132	No	NA	59	10	1	Complete	High-quality	100	0	1	temperate
V-CA3_NODE_1793_length_14415_cov_13.653229	14415	No	NA	23	8	0	Low-quality	Genome-fragment	21.48	0	1	temperate
V-PC3_NODE_941_length_34919_cov_43.138109	34919	No	NA	54	14	0	Complete	High-quality	100	0	1	virulent
V-PC1_NODE_6412_length_10364_cov_73.212987	10364	No	NA	20	6	0	Low-quality	Genome-fragment	23.04	0	1	virulent
V-PB1_NODE_2865_length_10345_cov_11.243183	10345	No	NA	21	2	0	Low-quality	Genome-fragment	10.12	0	1	virulent
V-PC2_NODE_50_length_64850_cov_7.168542	64850	No	NA	107	7	2	Complete	High-quality	100	0	1	virulent
V-PA3_NODE_426_length_45574_cov_7.892718	45574	No	NA	72	9	0	High-quality	High-quality	100	0	1	virulent
V-PC3_NODE_3814_length_10443_cov_12.211075	10443	No	NA	17	1	0	Low-quality	Genome-fragment	19.59	0	1	-
V-CB2_NODE_586_length_34861_cov_4.679307	34861	No	NA	47	4	0	Medium-quality	Genome-fragment	83.95	0	1	temperate
V-PC2_NODE_1853_length_15697_cov_11.703393	15697	No	NA	20	8	0	Low-quality	Genome-fragment	37.1	0	1	temperate
V-CC3_NODE_1420_length_17996_cov_264.550979	17996	No	NA	30	3	1	Low-quality	Genome-fragment	10.53	0	1	virulent
V-PC2_NODE_3299_length_10403_cov_11.734650	10403	No	NA	15	4	0	Low-quality	Genome-fragment	15.19	0	1	virulent
V-CA1_NODE_1383_length_18373_cov_8.364287	18373	No	NA	18	1	0	Low-quality	Genome-fragment	10.49	0	1	-
V-PC2_NODE_1087_length_22888_cov_8.072728	22888	No	NA	25	5	0	Low-quality	Genome-fragment	26.73	0	1	virulent
V-PC3_NODE_146_length_71987_cov_12.309067	71987	No	NA	115	9	2	Medium-quality	Genome-fragment	68.91	0	1	temperate
V-PA4_NODE_587_length_32421_cov_15.764068	32421	No	NA	47	1	0	Low-quality	Genome-fragment	43.15	0	1	temperate
V-PC2_NODE_273_length_44484_cov_8.808319	44484	No	NA	57	17	1	High-quality	High-quality	100	0	1	temperate
V-PB1_NODE_827_length_25257_cov_18.221326	25257	No	NA	43	4	0	Medium-quality	Genome-fragment	55.14	0	1	virulent
V-CC3_NODE_2545_length_11951_cov_5.151086	11951	No	NA	14	3	0	Low-quality	Genome-fragment	8.89	0	1	virulent
V-CC2_NODE_1706_length_16066_cov_3.948152	16066	No	NA	35	3	1	Low-quality	Genome-fragment	37.88	0	1	temperate
V-CC1_NODE_1174_length_20467_cov_3.833154	20467	No	NA	30	11	0	Medium-quality	Genome-fragment	54.58	0	1	virulent
V-PC2_NODE_2805_length_11700_cov_8.352749	11700	No	NA	13	1	1	Low-quality	Genome-fragment	6.35	0	1	virulent
V-PA3_NODE_2125_length_13044_cov_51.459937	13044	No	NA	20	1	0	Low-quality	Genome-fragment	3.91	0	1	temperate
V-CB4_NODE_2889_length_13745_cov_32.602210	13745	No	NA	33	8	0	Low-quality	Genome-fragment	18.71	0	1	temperate
V-PC1_NODE_4228_length_14274_cov_8.019370	14274	No	NA	12	2	0	Low-quality	Genome-fragment	8.75	0	1	-
V-PC1_NODE_2591_length_20645_cov_11.218786	20645	No	NA	31	4	0	Low-quality	Genome-fragment	43.01	0	1	virulent
V-CB4_NODE_1559_length_24665_cov_7.683382	24665	No	NA	51	1	0	Medium-quality	Genome-fragment	50.56	0	1	temperate
V-PC3_NODE_3816_length_10431_cov_17.907958	10431	No	NA	13	4	0	Low-quality	Genome-fragment	10.8	0	1	virulent
V-CA3_NODE_221_length_54354_cov_56.104943	54354	No	NA	98	13	8	Medium-quality	Genome-fragment	65.99	0	1	virulent
V-CA4_NODE_2662_length_12942_cov_6.332452	12942	No	NA	16	2	0	Low-quality	Genome-fragment	21.47	0	1	temperate
V-CC2_NODE_1308_length_19716_cov_38.939355	19716	No	NA	25	2	0	Low-quality	Genome-fragment	44.33	0	1	virulent
V-PB1_NODE_153_length_53914_cov_19.178372	53914	No	NA	74	10	6	High-quality	High-quality	100	0	1	temperate
V-CC4_NODE_1121_length_20002_cov_4.444718	20002	No	NA	28	4	0	Low-quality	Genome-fragment	47.04	0	1	temperate
V-PC3_NODE_1232_length_28292_cov_17.515931	28292	No	NA	48	15	0	Medium-quality	Genome-fragment	87.68	0	1	virulent
V-CB3_NODE_952_length_17202_cov_11.984292	17202	No	NA	31	6	2	Low-quality	Genome-fragment	23.77	0	1	temperate
V-CA3_NODE_1595_length_15694_cov_20.087853	15694	No	NA	35	6	0	Low-quality	Genome-fragment	30.23	0	1	virulent
V-CC1_NODE_273_length_44403_cov_7.158327	44403	No	NA	58	7	1	High-quality	High-quality	100	0	1	virulent
V-PB1_NODE_1920_length_13772_cov_15.824461	13772	No	NA	28	2	0	Low-quality	Genome-fragment	31.91	0	1	-
V-CA4_NODE_2842_length_12377_cov_21.690976	12377	No	NA	11	1	0	Low-quality	Genome-fragment	28.45	0	1	-
V-CB4_NODE_3778_length_10826_cov_6.336682	10826	No	NA	11	1	0	Low-quality	Genome-fragment	6.74	0	1	-
V-PC1_NODE_1952_length_25626_cov_17.736154	25626	No	NA	35	3	0	Low-quality	Genome-fragment	47.77	0	1	-
V-PA1_NODE_2755_length_10703_cov_4.327781	10703	No	NA	20	2	1	Low-quality	Genome-fragment	5.78	0	1	virulent
V-CB4_NODE_4125_length_10060_cov_7.995492	10060	No	NA	15	8	0	Low-quality	Genome-fragment	20.92	0	1	virulent
V-PA1_NODE_696_length_29551_cov_34.361675	29551	No	NA	48	5	1	Low-quality	Genome-fragment	36.36	0	1	temperate
V-CB4_NODE_970_length_38559_cov_30.077569	38559	No	NA	61	11	0	Complete	High-quality	100	0	1	virulent
V-CB1_NODE_628_length_28879_cov_55.896882	28879	No	NA	37	7	1	Medium-quality	Genome-fragment	50.68	0	1	virulent
V-PC4_NODE_2328_length_18440_cov_12.267658	18440	No	NA	31	3	1	Low-quality	Genome-fragment	14.54	0	1	virulent
V-PC3_NODE_2335_length_15684_cov_8.604921	15684	No	NA	27	1	1	Low-quality	Genome-fragment	29.69	0	1	virulent
V-PB1_NODE_548_length_35066_cov_19.221327	35066	No	NA	57	6	0	Medium-quality	Genome-fragment	84.64	0	1	virulent
V-PC1_NODE_5581_length_11517_cov_6.424825	11517	No	NA	14	2	0	Low-quality	Genome-fragment	17.75	0	1	-
V-PC2_NODE_3371_length_10235_cov_10.019984	10235	No	NA	14	5	0	Low-quality	Genome-fragment	27.82	0	1	temperate
V-PC4_NODE_1097_length_37039_cov_15.475759	37039	No	NA	51	4	3	Complete	High-quality	100	0	1	virulent
V-PC1_NODE_4625_length_13358_cov_5.549206	13358	No	NA	26	1	0	Low-quality	Genome-fragment	23.91	0	1	virulent
V-PC4_NODE_3256_length_13470_cov_4.864481	13470	No	NA	22	3	0	Low-quality	Genome-fragment	29.05	0	1	virulent
V-CC4_NODE_2530_length_10860_cov_9.184642	10860	No	NA	14	2	0	Low-quality	Genome-fragment	19.31	0	1	temperate
V-PA3_NODE_2572_length_10967_cov_3.825803	10967	No	NA	21	5	0	Low-quality	Genome-fragment	21.2	0	1	virulent
V-PC3_NODE_461_length_46269_cov_8.776844	46269	No	NA	53	14	0	Medium-quality	Genome-fragment	61.72	0	1	temperate
V-PC2_NODE_2179_length_14025_cov_8.551692	14025	No	NA	24	4	1	Low-quality	Genome-fragment	17.55	0	1	virulent
V-CC3_NODE_2095_length_13666_cov_4.173228	13666	No	NA	28	1	0	Low-quality	Genome-fragment	8.13	0	1	virulent
V-PB1_NODE_2183_length_12562_cov_9.517741	12562	No	NA	21	2	2	Low-quality	Genome-fragment	18.85	0	1	-
V-CC2_NODE_1217_length_20925_cov_48.955295	20925	No	NA	28	5	0	Medium-quality	Genome-fragment	55.78	0	1	virulent
V-CC4_NODE_95_length_61614_cov_17.889709	61614	No	NA	70	22	0	High-quality	High-quality	94.81	0	1	temperate
V-PC3_NODE_503_length_44823_cov_89.009118	44823	No	NA	75	7	2	Complete	High-quality	100	0	1	virulent
V-CC2_NODE_1575_length_17180_cov_13.859966	17180	No	NA	41	4	0	Low-quality	Genome-fragment	14.96	0	1	virulent
V-PB1_NODE_2058_length_13012_cov_6.237495	13012	No	NA	23	1	0	Low-quality	Genome-fragment	9.32	0	1	temperate
V-PC3_NODE_204_length_63844_cov_23.916038	63844	No	NA	103	19	0	High-quality	High-quality	100	0	1	temperate
V-PC2_NODE_1339_length_19575_cov_47.493794	19575	No	NA	34	11	0	Low-quality	Genome-fragment	48.84	0	1	virulent
V-CB2_NODE_925_length_22789_cov_5.816265	22789	No	NA	31	6	1	Low-quality	Genome-fragment	26.45	0	1	-
V-PC2_NODE_2259_length_13682_cov_5.930834	13682	No	NA	26	2	0	Low-quality	Genome-fragment	22.5	0	1	temperate
V-CC2_NODE_2_length_199573_cov_11.842879	199573	No	NA	301	49	11	Medium-quality	Genome-fragment	77.82	0	1	virulent
V-CC2_NODE_2572_length_12289_cov_4.869636	12289	No	NA	14	3	1	Low-quality	Genome-fragment	18.31	0	1	temperate
V-PC3_NODE_3925_length_10215_cov_16.288913	10215	No	NA	21	3	0	Low-quality	Genome-fragment	6.02	0	1	virulent
V-PC1_NODE_2166_length_23748_cov_59.836720	23748	No	NA	38	4	1	Low-quality	Genome-fragment	30.99	0	1	temperate
V-PB4_NODE_1592_length_13359_cov_15.889700	13359	No	NA	18	4	0	Low-quality	Genome-fragment	10.71	0	1	virulent
V-CC3_NODE_137_length_51663_cov_10.520587	51663	No	NA	79	7	3	Medium-quality	Genome-fragment	77.52	0	1	virulent
V-PB1_NODE_1116_length_20214_cov_5.389681	20214	No	NA	15	6	0	Medium-quality	Genome-fragment	54.39	0	1	temperate
V-PC3_NODE_840_length_37253_cov_11.225226	37253	No	NA	58	13	0	High-quality	High-quality	92.87	0	1	virulent
V-PC2_NODE_1737_length_16381_cov_8.000368	16381	No	NA	20	8	0	Low-quality	Genome-fragment	44.95	0	1	temperate
V-CB4_NODE_1816_length_21165_cov_7.723113	21165	No	NA	16	4	0	Low-quality	Genome-fragment	41.15	0	1	virulent
V-PB4_NODE_428_length_41991_cov_18.911748	41991	No	NA	60	4	0	Low-quality	Genome-fragment	45.92	0	1	virulent
V-PC4_NODE_3605_length_12286_cov_7.681301	12286	No	NA	9	1	0	Low-quality	Genome-fragment	26.49	0	1	-
V-CA2_NODE_2889_length_10247_cov_4.811504	10247	No	NA	18	2	0	Low-quality	Genome-fragment	12.41	0	1	virulent
V-PA3_NODE_2690_length_10496_cov_3.738938	10496	No	NA	23	1	1	Low-quality	Genome-fragment	6.62	0	1	-
V-CC1_NODE_2280_length_13236_cov_4.295083	13236	No	NA	17	4	1	Low-quality	Genome-fragment	30.21	0	1	virulent
V-PB1_NODE_2888_length_10284_cov_3.544332	10284	No	NA	17	2	0	Low-quality	Genome-fragment	12.46	0	1	-
V-PA2_NODE_1660_length_16825_cov_6.827681	16825	No	NA	20	2	0	Low-quality	Genome-fragment	15.93	0	1	temperate
V-PC3_NODE_2437_length_15033_cov_16.089930	15033	No	NA	24	8	0	High-quality	High-quality	100	0	1	temperate
V-PB3_NODE_1382_length_19153_cov_8.259331	19153	No	NA	35	1	1	Low-quality	Genome-fragment	13.57	0	1	virulent
V-PC3_NODE_2361_length_15533_cov_11.307971	15533	No	NA	17	6	0	Low-quality	Genome-fragment	42.26	0	1	virulent
V-PC2_NODE_2370_length_13212_cov_7.574267	13212	No	NA	27	1	0	Low-quality	Genome-fragment	31.44	0	1	-
V-PA1_NODE_432_length_39419_cov_20.089243	39419	No	NA	62	18	1	Medium-quality	Genome-fragment	59.9	0	1	temperate
V-CB1_NODE_790_length_24345_cov_50.842838	24345	No	NA	45	5	0	Medium-quality	Genome-fragment	50.95	0	1	virulent
V-CC3_NODE_698_length_31757_cov_6.125095	31757	No	NA	55	1	1	Low-quality	Genome-fragment	18.89	0	1	virulent
V-CC2_NODE_12_length_104003_cov_12.550911	104003	No	NA	156	15	8	High-quality	High-quality	100	0	1	temperate
V-PC3_NODE_3226_length_11965_cov_9.982167	11965	No	NA	13	2	0	Low-quality	Genome-fragment	24.16	0	1	temperate
V-CC2_NODE_547_length_38446_cov_18.151946	38446	No	NA	55	7	0	Medium-quality	Genome-fragment	60.42	0	1	temperate
V-CC3_NODE_330_length_43169_cov_9.083403	43169	No	NA	68	10	0	High-quality	High-quality	100	0	1	virulent
V-PC2_NODE_2678_length_12137_cov_7.167828	12137	No	NA	14	1	0	Low-quality	Genome-fragment	15.9	0	1	-
V-PC4_NODE_2163_length_19829_cov_7.347205	19829	No	NA	23	2	1	Low-quality	Genome-fragment	40.9	0	1	temperate
V-CB4_NODE_2332_length_16741_cov_5.759001	16741	No	NA	28	3	0	Low-quality	Genome-fragment	34.82	0	1	temperate
V-PC4_NODE_1001_length_38537_cov_47.391836	38537	No	NA	65	6	2	Medium-quality	Genome-fragment	52.61	0	1	temperate
V-PC4_NODE_513_length_49137_cov_8.372788	49137	No	NA	86	8	2	Medium-quality	Genome-fragment	51.6	0	1	virulent
V-PC2_NODE_2409_length_13047_cov_7.416654	13047	No	NA	19	2	1	Low-quality	Genome-fragment	21.46	0	1	temperate
V-CC4_NODE_732_length_28377_cov_7.641908	28377	No	NA	29	8	0	Medium-quality	Genome-fragment	54.44	0	1	temperate
V-CA1_NODE_373_length_43204_cov_5.374962	43204	No	NA	62	11	1	High-quality	High-quality	99.85	0	1	virulent
V-PC2_NODE_182_length_48746_cov_10.202326	48746	No	NA	67	9	0	Low-quality	Genome-fragment	33.59	0	1	virulent
V-CB1_NODE_160_length_47658_cov_4.765053	47658	No	NA	74	12	1	High-quality	High-quality	99.36	0	1	temperate
V-CC1_NODE_2415_length_12743_cov_7.380783	12743	No	NA	19	2	0	Low-quality	Genome-fragment	9.23	0	1	temperate
V-PC1_NODE_3783_length_15511_cov_11.023714	15511	No	NA	25	6	0	Low-quality	Genome-fragment	25.71	0	1	virulent
V-CA4_NODE_1100_length_26652_cov_17.720075	26652	No	NA	47	5	2	Low-quality	Genome-fragment	46.87	0	1	virulent
V-PC1_NODE_5403_length_11821_cov_11.990974	11821	No	NA	16	3	0	Low-quality	Genome-fragment	14.25	0	1	temperate
V-CA3_NODE_1747_length_14646_cov_6.348960	14646	No	NA	26	2	0	Low-quality	Genome-fragment	26.19	0	1	virulent
V-CC3_NODE_2592_length_11814_cov_14.961915	11814	No	NA	20	1	0	Low-quality	Genome-fragment	7.03	0	1	temperate
V-PA2_NODE_1858_length_15355_cov_5.492015	15355	No	NA	16	1	1	Low-quality	Genome-fragment	22.97	0	1	temperate
V-PC4_NODE_1665_length_25477_cov_12.035000	25477	No	NA	27	3	0	Low-quality	Genome-fragment	38.18	0	1	-
V-PC4_NODE_2980_length_14597_cov_83.612741	14597	No	NA	18	2	0	Low-quality	Genome-fragment	19.48	0	1	-
V-CA3_NODE_45_length_102644_cov_17.410717	102644	No	NA	186	20	2	Complete	High-quality	100	0	1	virulent
V-PC2_NODE_428_length_39955_cov_6.359120	39955	No	NA	50	13	1	Medium-quality	Genome-fragment	62.34	0	1	temperate
V-PA2_NODE_2524_length_12278_cov_10.727563	12278	No	NA	16	2	0	Low-quality	Genome-fragment	23.85	0	1	-
V-PC1_NODE_5030_length_12542_cov_8.314079	12542	No	NA	23	2	1	Low-quality	Genome-fragment	4.8	0	1	temperate
V-PA3_NODE_113_length_70299_cov_23.266298	70299	No	NA	100	2	12	Low-quality	Genome-fragment	10.25	0	1	virulent
V-PA2_NODE_1356_length_19816_cov_10.281068	19816	No	NA	34	3	0	Low-quality	Genome-fragment	33.55	0	1	-
V-PB1_NODE_1643_length_15219_cov_7.762647	15219	No	NA	13	1	0	Low-quality	Genome-fragment	28.06	0	1	temperate
V-CB1_NODE_2782_length_10556_cov_5.445462	10556	No	NA	25	3	1	Low-quality	Genome-fragment	7.32	0	1	temperate
V-PB1_NODE_2543_length_11340_cov_8.475983	11340	No	NA	19	2	0	Low-quality	Genome-fragment	18.06	0	1	virulent
V-PA1_NODE_2175_length_12513_cov_4.023641	12513	No	NA	27	3	0	Low-quality	Genome-fragment	6.77	0	1	virulent
V-CB4_NODE_1661_length_23131_cov_11.391342	23131	No	NA	40	1	2	Low-quality	Genome-fragment	20.54	0	1	virulent
V-PB3_NODE_1257_length_20976_cov_19.379253	20976	No	NA	24	9	1	Low-quality	Genome-fragment	19.96	0	1	temperate
V-PC3_NODE_2798_length_13492_cov_7.136713	13492	No	NA	16	2	0	Low-quality	Genome-fragment	24.79	0	1	temperate
V-CC1_NODE_1166_length_20599_cov_18.469301	20599	No	NA	21	1	0	Low-quality	Genome-fragment	49.37	0	1	-
V-PC1_NODE_2386_length_22041_cov_29.525132	22041	No	NA	31	8	0	Medium-quality	Genome-fragment	57.87	0	1	temperate
V-CA3_NODE_792_length_29515_cov_25.431109	29515	No	NA	41	7	1	Low-quality	Genome-fragment	33.77	0	1	temperate
V-PC2_NODE_1056_length_23458_cov_39.723878	23458	No	NA	30	2	0	Low-quality	Genome-fragment	19.07	0	1	virulent
V-CA4_NODE_3341_length_10882_cov_2.982138	10882	No	NA	17	1	0	Low-quality	Genome-fragment	4.66	0	1	-
V-PC2_NODE_1665_length_16792_cov_11.483578	16792	No	NA	42	9	1	Low-quality	Genome-fragment	30.13	0	1	temperate
V-PB2_NODE_1346_length_16226_cov_5.230479	16226	No	NA	24	6	0	Low-quality	Genome-fragment	33.28	0	1	virulent
V-CA1_NODE_1025_length_23037_cov_15.616638	23037	No	NA	51	2	1	Low-quality	Genome-fragment	14.34	0	1	virulent
V-CC4_NODE_1228_length_18493_cov_7.670504	18493	No	NA	37	2	1	Low-quality	Genome-fragment	26.64	0	1	temperate
V-PC1_NODE_239_length_72598_cov_43.370858	72598	No	NA	86	6	3	Medium-quality	Genome-fragment	87.58	0	1	virulent
V-CC3_NODE_479_length_38516_cov_15.712323	38516	No	NA	50	19	0	Medium-quality	Genome-fragment	64.39	0	1	temperate
V-PC1_NODE_3419_length_16794_cov_14.356763	16794	No	NA	28	4	0	Medium-quality	Genome-fragment	58.39	0	1	-
V-CB4_NODE_2653_length_14818_cov_6.823621	14818	No	NA	32	2	0	Low-quality	Genome-fragment	20.45	0	1	virulent
V-PA2_NODE_1721_length_16306_cov_6.495040	16306	No	NA	19	2	1	Low-quality	Genome-fragment	29.88	0	1	temperate
V-CC1_NODE_2005_length_14438_cov_7.877446	14438	No	NA	29	3	0	Low-quality	Genome-fragment	8.71	0	1	virulent
V-CB2_NODE_1088_length_19860_cov_5.121417	19860	No	NA	38	3	3	Low-quality	Genome-fragment	37.21	0	1	temperate
V-PC2_NODE_2206_length_13906_cov_20.633741	13906	No	NA	18	2	1	Low-quality	Genome-fragment	29.27	0	1	-
V-PC3_NODE_2982_length_12783_cov_9.742799	12783	No	NA	27	2	0	Low-quality	Genome-fragment	10.56	0	1	virulent
V-CB3_NODE_1692_length_10616_cov_7.491603	10616	No	NA	13	4	0	Low-quality	Genome-fragment	17.74	0	1	virulent
V-PB1_NODE_2889_length_10281_cov_5.990396	10281	No	NA	7	1	0	Low-quality	Genome-fragment	6.4	0	1	-
V-CB1_NODE_276_length_43015_cov_6.276585	43015	No	NA	73	11	0	Complete	High-quality	100	0	1	virulent
V-CC2_NODE_1751_length_15787_cov_8.992616	15787	No	NA	27	6	0	Low-quality	Genome-fragment	49.74	0	1	virulent
V-CB4_NODE_1944_length_20009_cov_9.481939	20009	No	NA	21	6	0	Medium-quality	Genome-fragment	54.3	0	1	temperate
V-CA3_NODE_1401_length_17742_cov_6.193207	17742	No	NA	23	13	0	Low-quality	Genome-fragment	35.89	0	1	temperate
V-PC3_NODE_2488_length_14825_cov_13.241592	14825	No	NA	21	5	0	Low-quality	Genome-fragment	21.49	0	1	virulent
V-CA1_NODE_907_length_25111_cov_12.405648	25111	No	NA	45	3	0	Low-quality	Genome-fragment	36.59	0	1	temperate
V-PC4_NODE_924_length_39807_cov_22.434080	39807	No	NA	64	9	0	Complete	High-quality	100	0	1	temperate
V-PC1_NODE_275_length_69080_cov_10.699216	69080	No	NA	74	13	0	Complete	High-quality	100	0	1	virulent
V-CC3_NODE_2863_length_10892_cov_3.673232	10892	No	NA	19	2	0	Low-quality	Genome-fragment	15.86	0	1	-
V-PB2_NODE_1291_length_16655_cov_4.022982	16655	No	NA	37	3	2	Low-quality	Genome-fragment	25.07	0	1	virulent
V-PC3_NODE_2745_length_13720_cov_24.589020	13720	No	NA	14	5	0	Low-quality	Genome-fragment	20.37	0	1	temperate
V-PC3_NODE_1081_length_31613_cov_11.044235	31613	No	NA	50	9	1	Low-quality	Genome-fragment	48.06	0	1	temperate
V-PB3_NODE_2037_length_13209_cov_4.194106	13209	No	NA	17	3	0	Low-quality	Genome-fragment	14.43	0	1	temperate
V-PC1_NODE_3548_length_16305_cov_10.382487	16305	No	NA	25	5	1	Low-quality	Genome-fragment	29.73	0	1	temperate
V-PB1_NODE_1765_length_14583_cov_4.837584	14583	No	NA	25	7	0	Low-quality	Genome-fragment	24.74	0	1	virulent
V-CC2_NODE_582_length_37808_cov_15.878667	37808	No	NA	50	11	3	High-quality	High-quality	92.1	0	1	temperate
V-PC1_NODE_134_length_94841_cov_15.661158	94841	No	NA	136	12	2	High-quality	High-quality	100	0	1	virulent
V-PA1_NODE_2008_length_13248_cov_3.085263	13248	No	NA	28	2	0	Low-quality	Genome-fragment	20.09	0	1	virulent
V-CC2_NODE_207_length_50239_cov_5.178482	50239	No	NA	69	7	1	Medium-quality	Genome-fragment	58.93	0	1	virulent
V-PC1_NODE_479_length_55605_cov_21.358918	55605	No	NA	70	5	1	High-quality	High-quality	100	0	1	virulent
V-PA3_NODE_1823_length_14922_cov_14.186191	14922	No	NA	22	11	0	Low-quality	Genome-fragment	41.96	0	1	temperate
V-CA2_NODE_2439_length_11637_cov_3.846799	11637	No	NA	26	1	0	Low-quality	Genome-fragment	17.7	0	1	temperate
